,latitude,housing_median_age,total_rooms,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
0,33.68,10.0,3659.0,3.8869,1.0,0.0,0.0,0.0,0.0
1,37.86,30.0,1428.0,3.691,0.0,1.0,0.0,0.0,0.0
2,38.02,16.0,2717.0,2.5473,0.0,1.0,0.0,0.0,0.0
3,34.11,12.0,7508.0,5.8788,0.0,0.0,0.0,0.0,1.0
4,33.95,41.0,679.0,2.1406,1.0,0.0,0.0,0.0,0.0
5,34.72,14.0,1289.0,3.2569,1.0,0.0,0.0,0.0,0.0
6,34.66,9.0,1561.0,5.7049,0.0,1.0,0.0,0.0,0.0
7,32.75,36.0,1929.0,1.7622,0.0,0.0,0.0,0.0,1.0
8,38.61,9.0,2598.0,3.5192,0.0,1.0,0.0,0.0,0.0
9,38.94,25.0,661.0,1.7566,0.0,1.0,0.0,0.0,0.0
10,33.63,26.0,1632.0,3.2125,1.0,0.0,0.0,0.0,0.0
11,33.95,41.0,1576.0,1.9798,1.0,0.0,0.0,0.0,0.0
12,33.34,10.0,5294.0,5.4563,1.0,0.0,0.0,0.0,0.0
13,34.04,45.0,332.0,3.1895,1.0,0.0,0.0,0.0,0.0
14,33.97,42.0,1859.0,6.019,1.0,0.0,0.0,0.0,0.0
15,33.91,40.0,513.0,4.875,1.0,0.0,0.0,0.0,0.0
16,33.85,36.0,956.0,4.6429,1.0,0.0,0.0,0.0,0.0
17,34.15,18.0,6213.0,3.748,0.0,0.0,0.0,0.0,1.0
18,33.97,30.0,2953.0,2.6895,0.0,1.0,0.0,0.0,0.0
19,33.64,38.0,2222.0,2.8553,1.0,0.0,0.0,0.0,0.0
20,36.55,21.0,2467.0,2.5521,0.0,1.0,0.0,0.0,0.0
21,34.16,37.0,3441.0,4.1656,1.0,0.0,0.0,0.0,0.0
22,37.35,35.0,1880.0,4.2273,1.0,0.0,0.0,0.0,0.0
23,37.69,33.0,2347.0,3.4492,0.0,0.0,0.0,0.0,1.0
24,32.8,21.0,2429.0,3.225,0.0,0.0,0.0,0.0,1.0
25,32.75,23.0,2474.0,2.9705,0.0,0.0,0.0,0.0,1.0
26,34.05,39.0,1880.0,3.875,1.0,0.0,0.0,0.0,0.0
27,33.94,30.0,940.0,1.2679,1.0,0.0,0.0,0.0,0.0
28,37.99,30.0,1271.0,1.5152,0.0,1.0,0.0,0.0,0.0
29,33.61,23.0,3588.0,6.1401,1.0,0.0,0.0,0.0,0.0
30,38.03,21.0,4924.0,2.9457,0.0,1.0,0.0,0.0,0.0
31,39.21,39.0,1214.0,2.4559,0.0,1.0,0.0,0.0,0.0
32,36.05,22.0,2078.0,2.2202,0.0,1.0,0.0,0.0,0.0
33,34.19,52.0,2962.0,4.9042,1.0,0.0,0.0,0.0,0.0
34,37.64,26.0,1762.0,1.6767,0.0,1.0,0.0,0.0,0.0
35,33.85,33.0,2053.0,4.0455,1.0,0.0,0.0,0.0,0.0
36,37.1,20.0,1918.0,7.5755,1.0,0.0,0.0,0.0,0.0
37,35.41,10.0,3216.0,6.3639,0.0,1.0,0.0,0.0,0.0
38,40.17,19.0,3182.0,1.9727,0.0,1.0,0.0,0.0,0.0
39,34.09,32.0,2202.0,2.0307,1.0,0.0,0.0,0.0,0.0
40,38.67,11.0,5500.0,4.1071,0.0,1.0,0.0,0.0,0.0
41,32.72,43.0,2160.0,2.4821,0.0,0.0,0.0,0.0,1.0
42,32.7,36.0,633.0,1.5729,0.0,0.0,0.0,0.0,1.0
43,33.69,13.0,9947.0,5.422,1.0,0.0,0.0,0.0,0.0
44,37.02,9.0,1608.0,3.7143,0.0,1.0,0.0,0.0,0.0
45,32.97,41.0,2429.0,3.0091,0.0,1.0,0.0,0.0,0.0
46,33.91,34.0,1763.0,5.0096,1.0,0.0,0.0,0.0,0.0
47,38.28,3.0,7030.0,4.962,0.0,1.0,0.0,0.0,0.0
48,34.15,33.0,2271.0,3.5978,0.0,1.0,0.0,0.0,0.0
49,33.73,28.0,1499.0,2.4539,1.0,0.0,0.0,0.0,0.0
50,37.35,22.0,2914.0,2.2031,1.0,0.0,0.0,0.0,0.0
51,38.68,32.0,2118.0,3.725,0.0,1.0,0.0,0.0,0.0
52,34.25,28.0,26.0,8.0,0.0,0.0,0.0,0.0,1.0
53,34.09,21.0,2215.0,2.8375,1.0,0.0,0.0,0.0,0.0
54,33.66,14.0,3155.0,3.0625,1.0,0.0,0.0,0.0,0.0
55,33.95,40.0,1193.0,1.35,1.0,0.0,0.0,0.0,0.0
56,36.13,29.0,1938.0,3.0134,0.0,1.0,0.0,0.0,0.0
57,32.75,30.0,1899.0,1.6034,0.0,0.0,0.0,0.0,1.0
58,38.64,29.0,2176.0,3.8681,1.0,0.0,0.0,0.0,0.0
59,40.45,34.0,1006.0,2.6094,1.0,0.0,0.0,0.0,0.0
60,36.21,26.0,2481.0,1.6378,0.0,1.0,0.0,0.0,0.0
61,37.0,21.0,1416.0,3.1987,1.0,0.0,0.0,0.0,0.0
62,37.08,18.0,2420.0,5.2101,0.0,0.0,0.0,0.0,1.0
63,33.68,14.0,1750.0,4.6793,1.0,0.0,0.0,0.0,0.0
64,34.21,33.0,2034.0,3.7455,1.0,0.0,0.0,0.0,0.0
65,33.82,32.0,2856.0,3.63,1.0,0.0,0.0,0.0,0.0
66,33.64,18.0,1867.0,2.6221,1.0,0.0,0.0,0.0,0.0
67,34.08,40.0,2011.0,1.9375,0.0,1.0,0.0,0.0,0.0
68,33.54,4.0,4956.0,7.9338,1.0,0.0,0.0,0.0,0.0
69,34.18,39.0,1810.0,3.7171,1.0,0.0,0.0,0.0,0.0
70,37.38,24.0,2424.0,4.072,1.0,0.0,0.0,0.0,0.0
71,34.26,40.0,1498.0,3.7974,1.0,0.0,0.0,0.0,0.0
72,38.86,11.0,1720.0,3.2027,0.0,1.0,0.0,0.0,0.0
73,34.06,23.0,2512.0,1.7896,1.0,0.0,0.0,0.0,0.0
74,34.03,36.0,1831.0,8.1484,1.0,0.0,0.0,0.0,0.0
75,37.76,21.0,435.0,2.9125,0.0,1.0,0.0,0.0,0.0
76,37.85,52.0,4076.0,2.7054,0.0,0.0,0.0,1.0,0.0
77,37.43,52.0,1944.0,8.2664,0.0,0.0,0.0,1.0,0.0
78,34.1,39.0,2196.0,2.9417,1.0,0.0,0.0,0.0,0.0
79,33.74,33.0,2119.0,4.537,0.0,0.0,0.0,0.0,1.0
80,37.67,15.0,3062.0,4.3864,0.0,1.0,0.0,0.0,0.0
81,34.45,26.0,828.0,5.2374,1.0,0.0,0.0,0.0,0.0
82,33.34,15.0,3313.0,2.7986,1.0,0.0,0.0,0.0,0.0
83,34.07,32.0,1775.0,4.0375,0.0,1.0,0.0,0.0,0.0
84,37.38,36.0,3598.0,7.8177,0.0,0.0,0.0,1.0,0.0
85,33.91,29.0,889.0,4.9609,1.0,0.0,0.0,0.0,0.0
86,37.31,26.0,1391.0,6.6766,1.0,0.0,0.0,0.0,0.0
87,40.6,5.0,2614.0,3.4464,0.0,1.0,0.0,0.0,0.0
88,38.35,20.0,1415.0,4.0938,0.0,1.0,0.0,0.0,0.0
89,33.69,12.0,2480.0,1.6705,1.0,0.0,0.0,0.0,0.0
90,33.18,9.0,4540.0,4.5781,0.0,0.0,0.0,0.0,1.0
91,33.91,22.0,2620.0,5.3735,0.0,1.0,0.0,0.0,0.0
92,37.57,39.0,2647.0,4.2407,0.0,0.0,0.0,0.0,1.0
93,36.79,24.0,3505.0,1.9575,0.0,1.0,0.0,0.0,0.0
94,35.76,15.0,3938.0,2.1295,0.0,1.0,0.0,0.0,0.0
95,33.9,35.0,1649.0,1.4091,1.0,0.0,0.0,0.0,0.0
96,37.93,31.0,1673.0,2.0833,0.0,1.0,0.0,0.0,0.0
97,32.8,26.0,3433.0,2.9258,0.0,0.0,0.0,0.0,1.0
98,34.43,27.0,3143.0,4.6957,0.0,0.0,0.0,0.0,1.0
99,34.1,21.0,8069.0,3.2756,0.0,1.0,0.0,0.0,0.0
100,34.19,28.0,3824.0,4.1154,1.0,0.0,0.0,0.0,0.0
101,34.25,35.0,779.0,4.6635,1.0,0.0,0.0,0.0,0.0
102,37.28,19.0,1548.0,1.7756,0.0,1.0,0.0,0.0,0.0
103,33.85,17.0,1610.0,4.3594,1.0,0.0,0.0,0.0,0.0
104,37.79,38.0,2152.0,2.5025,0.0,1.0,0.0,0.0,0.0
105,33.89,36.0,2230.0,2.8493,1.0,0.0,0.0,0.0,0.0
106,33.6,25.0,1949.0,2.7601,1.0,0.0,0.0,0.0,0.0
107,38.62,31.0,3114.0,6.244,0.0,1.0,0.0,0.0,0.0
108,34.25,26.0,2639.0,6.2788,1.0,0.0,0.0,0.0,0.0
109,32.75,38.0,5430.0,3.654,0.0,0.0,0.0,0.0,1.0
110,33.8,30.0,729.0,4.7667,1.0,0.0,0.0,0.0,0.0
111,33.77,37.0,2653.0,2.3523,0.0,0.0,0.0,0.0,1.0
112,33.74,25.0,4273.0,2.9926,1.0,0.0,0.0,0.0,0.0
113,39.02,15.0,1117.0,2.6319,0.0,1.0,0.0,0.0,0.0
114,33.53,28.0,3085.0,7.9794,1.0,0.0,0.0,0.0,0.0
115,34.07,15.0,3543.0,3.0184,0.0,1.0,0.0,0.0,0.0
116,37.24,27.0,1265.0,5.3911,1.0,0.0,0.0,0.0,0.0
117,33.83,15.0,4173.0,2.4662,0.0,1.0,0.0,0.0,0.0
118,33.92,36.0,847.0,4.8542,1.0,0.0,0.0,0.0,0.0
119,37.42,16.0,1945.0,7.4542,0.0,0.0,0.0,0.0,1.0
120,34.03,51.0,1280.0,1.7115,1.0,0.0,0.0,0.0,0.0
121,38.52,30.0,3657.0,1.3927,0.0,1.0,0.0,0.0,0.0
122,33.79,29.0,1813.0,2.0677,1.0,0.0,0.0,0.0,0.0
123,38.49,34.0,3573.0,3.5323,0.0,1.0,0.0,0.0,0.0
124,33.87,13.0,2907.0,3.5048,1.0,0.0,0.0,0.0,0.0
125,32.75,29.0,1961.0,2.2813,0.0,0.0,0.0,0.0,1.0
126,38.15,9.0,1302.0,7.5,1.0,0.0,0.0,0.0,0.0
127,34.22,11.0,3170.0,7.5118,1.0,0.0,0.0,0.0,0.0
128,34.03,31.0,525.0,2.6964,1.0,0.0,0.0,0.0,0.0
129,38.49,26.0,1557.0,2.6613,0.0,1.0,0.0,0.0,0.0
130,37.76,39.0,1823.0,6.0749,0.0,0.0,0.0,1.0,0.0
131,40.3,15.0,1717.0,3.6477,0.0,1.0,0.0,0.0,0.0
132,40.76,26.0,1776.0,2.8056,0.0,0.0,0.0,0.0,1.0
133,36.75,35.0,1607.0,2.19,0.0,1.0,0.0,0.0,0.0
134,33.94,34.0,1947.0,6.1814,1.0,0.0,0.0,0.0,0.0
135,37.52,17.0,6645.0,6.3892,0.0,0.0,0.0,0.0,1.0
136,35.88,32.0,1393.0,1.5069,0.0,1.0,0.0,0.0,0.0
137,34.13,12.0,1893.0,2.3456,0.0,1.0,0.0,0.0,0.0
138,37.64,45.0,1913.0,3.1397,0.0,1.0,0.0,0.0,0.0
139,37.95,13.0,3216.0,3.0859,0.0,1.0,0.0,0.0,0.0
140,33.24,32.0,1995.0,1.6552,0.0,1.0,0.0,0.0,0.0
141,33.98,38.0,1862.0,4.7266,1.0,0.0,0.0,0.0,0.0
142,33.85,38.0,123.0,2.3942,1.0,0.0,0.0,0.0,0.0
143,33.78,15.0,4798.0,2.127,0.0,0.0,0.0,0.0,1.0
144,37.63,41.0,2764.0,1.9643,0.0,1.0,0.0,0.0,0.0
145,34.11,12.0,6758.0,2.5181,0.0,1.0,0.0,0.0,0.0
146,33.95,35.0,1182.0,1.5898,1.0,0.0,0.0,0.0,0.0
147,34.05,6.0,2290.0,7.2708,0.0,1.0,0.0,0.0,0.0
148,38.26,27.0,3440.0,2.5896,0.0,1.0,0.0,0.0,0.0
149,37.76,36.0,2781.0,2.4598,0.0,0.0,0.0,1.0,0.0
150,39.74,20.0,707.0,3.0469,0.0,1.0,0.0,0.0,0.0
151,34.06,33.0,1950.0,1.7238,1.0,0.0,0.0,0.0,0.0
152,32.72,24.0,5474.0,4.0813,0.0,0.0,0.0,0.0,1.0
153,32.75,36.0,2831.0,2.9896,0.0,0.0,0.0,0.0,1.0
154,32.69,28.0,1485.0,4.069,0.0,0.0,0.0,0.0,1.0
155,34.17,46.0,2553.0,2.0278,1.0,0.0,0.0,0.0,0.0
156,33.75,30.0,5268.0,4.015,1.0,0.0,0.0,0.0,0.0
157,37.77,52.0,2685.0,3.6894,0.0,0.0,0.0,1.0,0.0
158,34.07,52.0,2066.0,5.8632,1.0,0.0,0.0,0.0,0.0
159,33.9,44.0,1167.0,4.2083,1.0,0.0,0.0,0.0,0.0
160,37.61,9.0,3666.0,4.6458,1.0,0.0,0.0,0.0,0.0
161,33.91,27.0,500.0,2.7426,1.0,0.0,0.0,0.0,0.0
162,33.78,21.0,2713.0,2.6959,1.0,0.0,0.0,0.0,0.0
163,36.71,29.0,1541.0,2.0043,0.0,1.0,0.0,0.0,0.0
164,32.64,30.0,3171.0,2.507,0.0,0.0,0.0,0.0,1.0
165,33.4,17.0,2737.0,3.5729,0.0,0.0,0.0,0.0,1.0
166,33.82,34.0,1719.0,2.8438,0.0,0.0,0.0,0.0,1.0
167,37.06,25.0,474.0,3.8062,0.0,1.0,0.0,0.0,0.0
168,33.84,34.0,874.0,4.8667,1.0,0.0,0.0,0.0,0.0
169,34.17,34.0,4062.0,7.8588,0.0,1.0,0.0,0.0,0.0
170,32.77,16.0,7963.0,2.9624,1.0,0.0,0.0,0.0,0.0
171,34.08,37.0,2576.0,3.3958,0.0,1.0,0.0,0.0,0.0
172,34.06,25.0,1714.0,1.3241,1.0,0.0,0.0,0.0,0.0
173,37.82,14.0,1847.0,4.9271,0.0,1.0,0.0,0.0,0.0
174,32.78,34.0,2856.0,3.2083,0.0,1.0,0.0,0.0,0.0
175,37.29,20.0,2308.0,4.2589,1.0,0.0,0.0,0.0,0.0
176,38.04,26.0,3080.0,4.9861,0.0,1.0,0.0,0.0,0.0
177,37.56,19.0,7976.0,5.6396,0.0,0.0,0.0,1.0,0.0
178,37.97,33.0,3656.0,3.1406,0.0,1.0,0.0,0.0,0.0
179,34.08,34.0,1513.0,2.6901,1.0,0.0,0.0,0.0,0.0
180,37.43,22.0,3294.0,5.2391,0.0,0.0,0.0,0.0,1.0
181,34.05,13.0,1703.0,0.8288,1.0,0.0,0.0,0.0,0.0
182,37.84,47.0,3175.0,5.2868,0.0,0.0,0.0,1.0,0.0
183,33.99,43.0,1432.0,4.3333,1.0,0.0,0.0,0.0,0.0
184,37.33,25.0,1731.0,4.1058,0.0,1.0,0.0,0.0,0.0
185,33.72,19.0,2248.0,2.817,1.0,0.0,0.0,0.0,0.0
186,37.54,23.0,6184.0,10.1675,0.0,0.0,0.0,0.0,1.0
187,37.25,20.0,5483.0,4.6845,1.0,0.0,0.0,0.0,0.0
188,33.96,39.0,882.0,1.8472,1.0,0.0,0.0,0.0,0.0
189,33.62,23.0,3166.0,7.9367,1.0,0.0,0.0,0.0,0.0
190,36.31,34.0,1439.0,3.0972,0.0,1.0,0.0,0.0,0.0
191,34.15,13.0,9444.0,2.6111,0.0,1.0,0.0,0.0,0.0
192,33.77,39.0,2428.0,2.7212,0.0,0.0,0.0,0.0,1.0
193,37.75,52.0,1855.0,2.1289,0.0,0.0,0.0,1.0,0.0
194,32.68,47.0,1044.0,1.7802,0.0,0.0,0.0,0.0,1.0
195,38.6,22.0,5773.0,2.5238,0.0,1.0,0.0,0.0,0.0
196,34.02,24.0,3912.0,2.6875,0.0,1.0,0.0,0.0,0.0
197,37.68,27.0,3337.0,3.6364,0.0,0.0,0.0,1.0,0.0
198,37.75,43.0,1587.0,1.9821,0.0,0.0,0.0,1.0,0.0
199,37.68,35.0,2632.0,4.3864,0.0,0.0,0.0,1.0,0.0
200,34.08,52.0,137.0,4.025,1.0,0.0,0.0,0.0,0.0
201,33.74,23.0,6114.0,3.0382,1.0,0.0,0.0,0.0,0.0
202,32.72,36.0,6096.0,3.37,0.0,0.0,0.0,0.0,1.0
203,38.39,10.0,5121.0,5.2447,0.0,1.0,0.0,0.0,0.0
204,37.76,52.0,2018.0,3.7083,0.0,0.0,0.0,0.0,1.0
205,38.0,25.0,3577.0,5.7295,0.0,0.0,0.0,1.0,0.0
206,37.94,20.0,268.0,1.125,0.0,1.0,0.0,0.0,0.0
207,35.13,16.0,3431.0,2.7301,1.0,0.0,0.0,0.0,0.0
208,37.2,15.0,531.0,4.65,1.0,0.0,0.0,0.0,0.0
209,34.01,48.0,1427.0,5.7405,1.0,0.0,0.0,0.0,0.0
210,34.11,35.0,2014.0,0.7075,0.0,1.0,0.0,0.0,0.0
211,34.07,28.0,5221.0,1.8829,1.0,0.0,0.0,0.0,0.0
212,34.14,44.0,1487.0,3.2292,0.0,1.0,0.0,0.0,0.0
213,34.06,33.0,390.0,1.1979,1.0,0.0,0.0,0.0,0.0
214,37.77,20.0,651.0,2.0833,0.0,1.0,0.0,0.0,0.0
215,34.33,27.0,534.0,8.2787,1.0,0.0,0.0,0.0,0.0
216,37.24,26.0,3032.0,5.4683,1.0,0.0,0.0,0.0,0.0
217,34.11,38.0,3495.0,2.2148,1.0,0.0,0.0,0.0,0.0
218,33.77,24.0,3810.0,5.8053,1.0,0.0,0.0,0.0,0.0
219,34.13,10.0,5951.0,2.7011,0.0,1.0,0.0,0.0,0.0
220,39.08,24.0,3127.0,2.0417,0.0,1.0,0.0,0.0,0.0
221,34.05,52.0,58.0,4.0972,1.0,0.0,0.0,0.0,0.0
222,33.72,33.0,2613.0,4.3899,1.0,0.0,0.0,0.0,0.0
223,34.01,40.0,885.0,1.1667,1.0,0.0,0.0,0.0,0.0
224,38.12,13.0,5027.0,4.9286,0.0,0.0,0.0,1.0,0.0
225,34.13,34.0,609.0,4.5766,1.0,0.0,0.0,0.0,0.0
226,37.49,25.0,1611.0,3.5547,0.0,1.0,0.0,0.0,0.0
227,33.75,33.0,278.0,2.025,0.0,1.0,0.0,0.0,0.0
228,38.68,24.0,3794.0,2.8068,0.0,1.0,0.0,0.0,0.0
229,38.67,10.0,2086.0,4.5526,0.0,1.0,0.0,0.0,0.0
230,37.78,50.0,1922.0,3.5833,0.0,0.0,0.0,1.0,0.0
231,37.77,52.0,2537.0,5.1788,0.0,0.0,0.0,1.0,0.0
232,37.29,40.0,1542.0,1.6929,0.0,1.0,0.0,0.0,0.0
233,37.32,13.0,1936.0,2.75,0.0,1.0,0.0,0.0,0.0
234,33.95,37.0,649.0,1.4792,1.0,0.0,0.0,0.0,0.0
235,37.43,32.0,2892.0,3.7784,0.0,1.0,0.0,0.0,0.0
236,34.09,37.0,1055.0,2.4167,1.0,0.0,0.0,0.0,0.0
237,38.59,36.0,2388.0,4.775,0.0,1.0,0.0,0.0,0.0
238,33.91,29.0,2387.0,3.1957,1.0,0.0,0.0,0.0,0.0
239,37.93,27.0,1621.0,2.1513,0.0,1.0,0.0,0.0,0.0
240,33.52,4.0,2142.0,3.4455,1.0,0.0,0.0,0.0,0.0
241,33.74,25.0,1818.0,3.2104,1.0,0.0,0.0,0.0,0.0
242,37.67,38.0,2104.0,3.875,0.0,0.0,0.0,1.0,0.0
243,36.79,28.0,2857.0,2.1573,0.0,1.0,0.0,0.0,0.0
244,34.17,16.0,1593.0,2.726,0.0,0.0,0.0,0.0,1.0
245,34.08,36.0,1371.0,4.5078,1.0,0.0,0.0,0.0,0.0
246,32.79,20.0,2372.0,1.1707,0.0,1.0,0.0,0.0,0.0
247,37.64,36.0,1981.0,1.9013,0.0,1.0,0.0,0.0,0.0
248,38.53,38.0,152.0,0.9274,0.0,1.0,0.0,0.0,0.0
249,33.07,5.0,10394.0,5.9289,0.0,0.0,0.0,0.0,1.0
250,33.96,43.0,2015.0,1.8672,1.0,0.0,0.0,0.0,0.0
251,37.22,17.0,2825.0,8.0595,1.0,0.0,0.0,0.0,0.0
252,34.26,10.0,3150.0,4.2448,0.0,0.0,0.0,0.0,1.0
253,33.81,41.0,1889.0,6.015,0.0,0.0,0.0,0.0,1.0
254,32.83,18.0,3109.0,7.4351,0.0,0.0,0.0,0.0,1.0
255,34.17,52.0,2287.0,7.8383,1.0,0.0,0.0,0.0,0.0
256,34.08,35.0,1032.0,2.8906,0.0,1.0,0.0,0.0,0.0
257,38.61,41.0,1404.0,1.8792,0.0,1.0,0.0,0.0,0.0
258,34.2,13.0,2926.0,3.5255,1.0,0.0,0.0,0.0,0.0
259,34.71,35.0,1503.0,2.5278,0.0,1.0,0.0,0.0,0.0
260,34.09,20.0,3447.0,2.918,1.0,0.0,0.0,0.0,0.0
261,34.16,34.0,2610.0,3.9722,0.0,0.0,0.0,0.0,1.0
262,37.79,44.0,1487.0,3.5156,0.0,0.0,0.0,1.0,0.0
263,37.81,50.0,760.0,0.9011,0.0,0.0,0.0,1.0,0.0
264,34.02,26.0,36.0,1.625,1.0,0.0,0.0,0.0,0.0
265,34.03,35.0,1469.0,3.9219,1.0,0.0,0.0,0.0,0.0
266,38.16,33.0,1808.0,3.2937,0.0,1.0,0.0,0.0,0.0
267,37.83,28.0,1326.0,8.2049,0.0,0.0,0.0,1.0,0.0
268,34.0,43.0,1606.0,3.962,1.0,0.0,0.0,0.0,0.0
269,33.84,22.0,13133.0,3.5414,1.0,0.0,0.0,0.0,0.0
270,36.85,20.0,2606.0,4.5787,1.0,0.0,0.0,0.0,0.0
271,33.75,30.0,3380.0,4.525,1.0,0.0,0.0,0.0,0.0
272,33.8,44.0,1387.0,4.25,0.0,0.0,0.0,0.0,1.0
273,34.15,29.0,3110.0,4.2031,1.0,0.0,0.0,0.0,0.0
274,38.04,25.0,3412.0,8.3646,0.0,0.0,0.0,1.0,0.0
275,34.27,15.0,3221.0,3.5313,1.0,0.0,0.0,0.0,0.0
276,37.27,17.0,4393.0,5.6876,1.0,0.0,0.0,0.0,0.0
277,34.08,17.0,1834.0,3.1028,0.0,1.0,0.0,0.0,0.0
278,33.99,43.0,612.0,5.1322,1.0,0.0,0.0,0.0,0.0
279,33.98,44.0,222.0,5.1136,1.0,0.0,0.0,0.0,0.0
280,37.43,17.0,11999.0,4.8405,0.0,0.0,0.0,0.0,1.0
